BASMID,ALLGRADEX,EDCPUB,SCCHOICE,SPUBCHOIX,SCONSIDR,SCHLHRSWK,EINTNET,MOSTIMPT,INTNUM,SEENJOY,SEGRADES,SEABSNT,SEGRADEQ,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,HDHEALTH,CDOBMM,CDOBYY,CSEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1MTHSWRK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,SEFUTUREX,DSBLTY,HHPARN19X,HHPARN19_BRD,NUMSIBSX,PARGRADEX,RACEETH,INTACC,CENREG,ZIPLOCL
20191019663,13,1,2,3,2,4,4,-1,-1,2,1,1,2,1,2,1,2,1,2,2,2,6,1,1,1,2,1,2,1,3,2,1,2,1,4,1,2,2,2,1,2,1,1,5,1,1,2,11,2003,1,2,3,1,1,2,2,7,-1,0,44,2,1,1,5,3,2,2,2,1,3,1,4,4,42
20191019678,10,1,1,1,2,4,4,-1,-1,2,2,2,3,1,1,1,1,1,1,2,2,20,2,1,1,2,1,1,2,4,10,1,2,1,4,3,1,1,1,1,1,1,1,7,2,2,1,1,2006,1,2,3,1,1,2,1,1,45,12,44,1,12,1,2,6,2,1,1,0,5,1,1,4,22
20191019698,11,2,1,2,1,4,4,-1,-1,1,1,1,1,1,1,1,1,1,1,2,2,10,2,1,1,1,1,1,1,4,5,1,1,1,4,1,1,1,1,1,1,2,1,6,1,1,1,11,2004,2,2,3,1,1,2,1,1,35,12,38,1,6,3,3,5,2,1,1,0,3,1,1,2,33
20191019712,14,1,2,1,2,4,4,-1,-1,2,1,1,2,2,2,1,2,2,2,2,1,3,2,1,2,2,2,2,2,3,3,1,1,1,2,1,2,2,2,2,2,2,2,7,2,2,1,5,2002,2,2,5,1,1,2,1,4,-1,0,39,1,3,1,1,5,2,1,1,2,3,3,1,2,21
20191019725,13,1,2,1,2,4,4,-1,-1,2,1,1,1,1,2,1,2,2,1,2,2,3,2,1,1,2,2,1,1,4,8,1,2,1,4,5,1,2,1,2,2,1,1,3,2,1,2,12,2003,2,2,4,2,1,1,1,1,45,12,42,1,10,1,1,5,1,1,1,1,5,1,1,4,13
20191019734,14,1,1,1,2,4,3,4,1,2,2,1,2,2,2,1,1,1,1,2,1,8,1,1,1,1,1,1,1,2,4,1,1,1,4,2,1,2,2,2,1,1,2,4,2,2,2,12,2000,2,2,5,8,6,2,1,2,20,12,44,1,9,1,1,3,2,4,1,2,4,1,1,2,21
20191019760,5,1,2,2,2,3,4,-1,-1,2,5,1,4,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,3,5,1,2,2,4,3,2,1,2,1,2,1,2,3,1,2,2,11,2011,1,2,4,1,1,2,1,1,10,12,38,1,8,1,3,5,2,1,1,1,5,1,1,1,21
20191019765,8,1,1,2,2,2,4,-1,-1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,3,5,1,1,1,4,3,1,1,2,1,1,1,2,6,2,1,2,5,2008,2,2,4,2,1,1,1,1,45,12,44,1,10,1,2,6,2,1,1,1,5,1,1,1,41
20191019769,4,1,1,1,1,4,4,-1,-1,2,5,1,2,1,1,1,1,1,1,1,2,8,1,2,2,1,2,1,1,3,3,1,1,1,4,3,2,1,2,1,1,2,2,5,2,2,1,6,2012,1,2,3,2,1,1,1,1,40,12,49,1,10,1,2,5,2,1,1,0,5,4,1,4,11
20191019770,14,1,2,2,2,4,4,-1,-1,2,2,1,3,1,2,1,1,1,1,1,1,5,2,1,2,2,2,2,2,3,8,2,2,1,4,3,1,1,1,1,1,1,1,7,2,2,1,11,2001,1,2,3,1,1,2,1,1,40,12,42,1,9,1,1,2,2,1,1,0,3,1,3,4,41
20191019788,12,1,2,3,2,4,4,-1,-1,2,1,1,2,1,2,1,1,1,1,2,2,20,1,1,1,1,1,1,1,3,5,1,1,1,4,1,1,1,1,2,1,1,1,3,2,2,1,9,2004,2,2,6,1,2,2,1,1,40,12,54,1,12,1,2,5,1,1,1,2,4,3,1,2,21
20191019789,6,1,2,3,2,4,4,-1,-1,1,1,1,2,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,4,5,1,1,1,4,3,1,1,1,2,1,1,2,7,2,2,1,7,2010,1,2,4,2,3,1,1,1,48,12,44,1,10,1,2,5,2,1,1,1,3,1,1,2,42
20191019804,2,1,1,3,2,4,4,-1,-1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,6,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,7,2,2,1,1,2014,1,2,3,1,1,2,1,5,-1,0,45,2,10,1,1,2,2,2,2,0,2,5,1,2,33
20191019806,14,1,1,3,2,4,4,-1,-1,2,2,3,2,1,2,1,2,2,2,2,2,20,1,1,2,2,2,2,1,4,7,1,1,1,3,2,2,2,2,2,1,1,2,3,2,1,1,7,2002,2,2,6,1,1,2,3,2,10,4,39,2,3,2,1,5,2,2,2,3,3,3,1,4,11
20191019811,2,2,2,2,1,2,3,5,1,1,5,1,2,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,3,8,1,1,1,4,3,1,1,1,1,1,1,1,5,1,2,1,4,2013,2,6,4,1,1,2,1,1,40,12,36,1,9,1,2,6,2,1,1,1,4,3,1,2,21
20191019822,5,1,2,2,2,4,4,-1,-1,1,1,2,2,1,2,1,2,1,2,2,2,4,2,1,1,1,1,2,2,4,6,1,1,1,4,2,1,1,1,1,1,2,2,3,2,2,1,7,2011,1,2,6,6,1,2,3,1,20,12,29,2,10,1,1,5,2,2,2,1,2,1,1,4,11
20191019830,15,1,1,1,2,4,4,-1,-1,2,1,1,1,1,1,1,2,1,2,2,1,4,1,1,1,2,2,1,2,4,30,1,2,1,2,1,2,2,2,2,1,1,2,7,2,2,1,3,2001,1,2,4,2,1,1,1,1,40,12,55,1,10,1,1,6,2,1,1,1,4,4,1,1,11
20191019878,13,1,1,3,2,3,4,-1,-1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,4,2,1,2,1,3,1,1,2,1,1,1,1,1,7,2,2,1,9,2002,1,2,3,2,1,1,3,1,40,12,49,2,4,1,1,4,2,3,2,1,2,5,1,1,42
20191019882,12,1,1,1,1,4,4,-1,-1,2,2,1,3,1,1,1,2,1,1,1,2,4,1,1,1,1,1,2,2,4,20,1,2,1,3,3,1,1,1,1,2,1,1,7,2,1,2,10,2003,2,2,3,1,1,2,3,1,45,12,37,2,6,1,1,5,2,2,2,1,3,5,1,2,13
20191019892,4,1,2,3,2,4,4,-1,-1,1,1,1,2,1,1,1,1,1,1,2,2,12,1,1,1,1,1,2,2,3,3,1,1,1,4,3,1,1,1,2,2,1,2,4,2,2,1,4,2012,2,2,5,2,1,1,1,1,50,12,43,1,12,1,3,5,2,1,1,2,5,1,1,1,23
20191019915,15,2,1,2,2,4,4,-1,-1,2,1,2,2,1,1,1,1,1,1,2,1,10,1,1,1,1,1,1,2,2,3,1,2,2,3,2,2,2,2,1,1,2,2,5,2,2,1,7,2001,1,2,4,2,1,1,3,2,50,12,59,2,8,1,1,5,2,3,2,2,3,1,1,4,41
20191019937,7,1,1,1,2,4,4,-1,-1,2,3,1,4,2,1,1,1,1,1,2,1,5,1,1,1,1,1,1,2,3,8,1,2,1,4,3,1,1,1,1,1,1,1,5,1,1,3,8,2008,2,2,4,1,2,2,3,1,50,12,41,2,4,3,1,5,1,2,2,2,5,1,1,2,41
20191019962,14,1,2,2,2,2,4,-1,-1,1,1,1,2,1,2,1,2,1,1,1,2,3,2,1,1,2,2,2,2,4,1,1,1,1,2,1,1,2,2,2,2,1,1,4,2,1,1,5,2002,2,6,3,1,1,2,5,1,30,12,52,1,2,2,3,4,2,1,1,0,2,4,3,4,22
20191019983,7,1,2,2,2,4,4,-1,-1,2,2,1,3,1,1,1,1,1,1,2,1,9,1,1,3,2,2,3,2,5,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,7,1,2,1,3,2009,1,2,2,1,1,2,2,1,40,12,51,2,3,2,5,4,1,2,2,0,1,2,3,3,12
20191020005,13,1,1,3,2,4,4,-1,-1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,4,4,1,1,1,3,1,1,2,2,1,2,1,1,4,2,2,2,1,2003,1,2,4,2,1,1,1,1,40,12,54,1,9,2,1,6,1,1,1,1,4,2,1,2,21
20191020018,9,1,1,2,2,4,4,-1,-1,2,1,1,1,1,2,1,2,1,1,2,2,5,1,1,1,1,1,1,2,3,4,1,1,1,4,2,2,1,2,1,1,1,1,4,2,1,1,6,2007,2,2,5,2,1,1,1,1,40,12,47,1,8,2,1,6,2,1,1,2,5,2,1,2,21
20191020027,2,1,1,1,1,2,4,-1,-1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,1,1,1,1,1,3,10,1,1,1,3,3,1,1,1,1,1,1,1,7,1,1,1,12,2012,1,4,8,1,1,2,1,1,48,12,33,1,9,1,2,6,2,1,1,0,4,3,1,2,21
20191020049,12,2,1,1,2,4,4,-1,-1,2,1,1,1,1,2,1,1,1,2,2,1,5,2,2,1,2,1,2,2,3,4,1,1,1,2,5,2,2,2,2,2,2,2,6,2,2,1,5,2004,2,2,5,2,1,1,1,1,40,12,58,1,9,1,1,2,2,1,1,2,2,1,1,1,11
20191020061,15,1,1,2,2,4,4,-1,-1,1,2,2,2,1,1,1,1,1,2,1,1,5,1,2,4,3,3,4,3,4,18,2,2,1,4,5,2,1,2,1,1,1,1,3,2,2,1,5,2001,1,2,3,1,1,2,1,1,50,12,46,2,4,1,1,6,2,2,2,0,2,3,1,2,21
20191020088,14,1,1,2,2,4,4,-1,-1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,4,15,2,2,1,1,5,2,2,2,1,2,2,2,4,2,2,1,3,2002,2,2,6,2,1,1,4,1,50,12,46,2,8,1,1,5,2,3,2,2,4,1,1,1,21
20191020092,12,1,2,3,2,4,4,-1,-1,4,1,1,1,1,2,2,2,2,2,2,2,4,2,1,2,2,2,2,3,3,4,2,2,1,4,5,1,2,1,2,2,1,2,3,2,1,3,8,2004,2,2,3,1,1,2,3,1,44,12,37,2,4,3,2,6,2,2,2,1,3,1,1,2,41
20191020104,10,1,1,1,2,4,4,-1,-1,1,2,1,3,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,3,1,1,1,1,4,3,1,1,1,2,1,2,1,1,1,2,1,10,2005,1,2,3,1,1,2,3,1,9,12,45,2,5,1,1,4,2,2,2,1,2,4,1,3,11
